sample_id,score,module,n_genes,genotype,tnf,group,n_replicates,exploratory,category
BD01,-0.029750981209731804,DDR,16,WT,basal,WT_basal,3,FALSE,Senescence
BD03,-0.1350553932746373,DDR,16,WT,basal,WT_basal,3,FALSE,Senescence
BD04,0.055583951886296064,DDR,16,WT,basal,WT_basal,3,FALSE,Senescence
BD02,-0.12212118741140805,DDR,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD05,-0.1279348770606452,DDR,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD20,-0.11271021864787592,DDR,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD06,-0.11393466205926006,DDR,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD07,-0.13538948532070302,DDR,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD08,-0.41178333244900867,DDR,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD09,0.08545658654972967,DDR,16,DKO,basal,DKO_basal,2,FALSE,Senescence
BD57,0.041510834370007216,DDR,16,DKO,basal,DKO_basal,2,FALSE,Senescence
BD12,0.420351245873343,DDR,16,WT,TNF12h,WT_TNF12h,1,TRUE,Senescence
BD13,0.2802367551839541,DDR,16,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Senescence
BD14,0.3055407635699383,DDR,16,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Senescence
BD01,-0.3141737283719635,SASP,21,WT,basal,WT_basal,3,FALSE,Senescence
BD03,-0.2195560454605316,SASP,21,WT,basal,WT_basal,3,FALSE,Senescence
BD04,-0.12703719847435738,SASP,21,WT,basal,WT_basal,3,FALSE,Senescence
BD02,-0.46149783151788537,SASP,21,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD05,-0.39356056665093336,SASP,21,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD20,-0.3568934320580187,SASP,21,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD06,-0.11577169318957671,SASP,21,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD07,-0.19641942504293214,SASP,21,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD08,-0.10751303383929225,SASP,21,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD09,0.2184235573941851,SASP,21,DKO,basal,DKO_basal,2,FALSE,Senescence
BD57,0.10713315050228073,SASP,21,DKO,basal,DKO_basal,2,FALSE,Senescence
BD12,0.46528470097222235,SASP,21,WT,TNF12h,WT_TNF12h,1,TRUE,Senescence
BD13,1.4463961939674874,SASP,21,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Senescence
BD14,0.055185351769315195,SASP,21,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Senescence
BD01,0.11853952920632821,Sen_Core,15,WT,basal,WT_basal,3,FALSE,Senescence
BD03,-0.10420757284374452,Sen_Core,15,WT,basal,WT_basal,3,FALSE,Senescence
BD04,0.06838041870205624,Sen_Core,15,WT,basal,WT_basal,3,FALSE,Senescence
BD02,-0.241114263651027,Sen_Core,15,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD05,-0.19697792285995372,Sen_Core,15,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD20,-0.19964528263288012,Sen_Core,15,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD06,0.08574305830308532,Sen_Core,15,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD07,0.0406073705801465,Sen_Core,15,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD08,-0.43474191045982474,Sen_Core,15,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD09,0.3851673067318013,Sen_Core,15,DKO,basal,DKO_basal,2,FALSE,Senescence
BD57,0.21806773049362463,Sen_Core,15,DKO,basal,DKO_basal,2,FALSE,Senescence
BD12,0.005945225556571998,Sen_Core,15,WT,TNF12h,WT_TNF12h,1,TRUE,Senescence
BD13,0.44538510284262256,Sen_Core,15,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Senescence
BD14,-0.19114878996880524,Sen_Core,15,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Senescence
BD01,-0.45221997146510273,Sen_OIS,18,WT,basal,WT_basal,3,FALSE,Senescence
BD03,-0.3928505316198334,Sen_OIS,18,WT,basal,WT_basal,3,FALSE,Senescence
BD04,-0.016048530041265427,Sen_OIS,18,WT,basal,WT_basal,3,FALSE,Senescence
BD02,-0.40743356668662095,Sen_OIS,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD05,-0.27944888092541437,Sen_OIS,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD20,-0.2929009610505678,Sen_OIS,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD06,-0.2817267154329974,Sen_OIS,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD07,-0.2005711639653922,Sen_OIS,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD08,-0.32306521305963903,Sen_OIS,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD09,0.4208822988879656,Sen_OIS,18,DKO,basal,DKO_basal,2,FALSE,Senescence
BD57,0.5831311783450117,Sen_OIS,18,DKO,basal,DKO_basal,2,FALSE,Senescence
BD12,0.39495589234416717,Sen_OIS,18,WT,TNF12h,WT_TNF12h,1,TRUE,Senescence
BD13,1.0223276888654298,Sen_OIS,18,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Senescence
BD14,0.22496847580426144,Sen_OIS,18,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Senescence
BD01,0.38469275666656577,Sen_Mito,32,WT,basal,WT_basal,3,FALSE,Senescence
BD03,0.35341498972132807,Sen_Mito,32,WT,basal,WT_basal,3,FALSE,Senescence
BD04,0.033929999773130055,Sen_Mito,32,WT,basal,WT_basal,3,FALSE,Senescence
BD02,-0.18179758860008308,Sen_Mito,32,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD05,-0.15677528729461915,Sen_Mito,32,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD20,-0.2351866640168867,Sen_Mito,32,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Senescence
BD06,0.1283091227893867,Sen_Mito,32,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD07,0.060497481858137483,Sen_Mito,32,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD08,0.06407910210735296,Sen_Mito,32,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Senescence
BD09,0.630588282802594,Sen_Mito,32,DKO,basal,DKO_basal,2,FALSE,Senescence
BD57,0.1832628436964539,Sen_Mito,32,DKO,basal,DKO_basal,2,FALSE,Senescence
BD12,-0.4161107616384895,Sen_Mito,32,WT,TNF12h,WT_TNF12h,1,TRUE,Senescence
BD13,-0.1997137670649033,Sen_Mito,32,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Senescence
BD14,-0.6491905107999699,Sen_Mito,32,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Senescence
BD01,-0.08731092017408965,Inflammaging,18,WT,basal,WT_basal,3,FALSE,Inflammation
BD03,0.06712193685966869,Inflammaging,18,WT,basal,WT_basal,3,FALSE,Inflammation
BD04,-0.18402050091320055,Inflammaging,18,WT,basal,WT_basal,3,FALSE,Inflammation
BD02,-0.21619246673668346,Inflammaging,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Inflammation
BD05,-0.20646667573608368,Inflammaging,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Inflammation
BD20,-0.36534885413595036,Inflammaging,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Inflammation
BD06,-0.3645172781968241,Inflammaging,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Inflammation
BD07,-0.2870097731036191,Inflammaging,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Inflammation
BD08,-0.33714305249999227,Inflammaging,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Inflammation
BD09,0.29169975946106336,Inflammaging,18,DKO,basal,DKO_basal,2,FALSE,Inflammation
BD57,-0.5249925471091297,Inflammaging,18,DKO,basal,DKO_basal,2,FALSE,Inflammation
BD12,0.8039416430484629,Inflammaging,18,WT,TNF12h,WT_TNF12h,1,TRUE,Inflammation
BD13,0.9887677000658829,Inflammaging,18,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Inflammation
BD14,0.42147102917049356,Inflammaging,18,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Inflammation
BD01,0.734260599177663,cGAS_STING,11,WT,basal,WT_basal,3,FALSE,Inflammation
BD03,0.6975968970976927,cGAS_STING,11,WT,basal,WT_basal,3,FALSE,Inflammation
BD04,0.27705866397192264,cGAS_STING,11,WT,basal,WT_basal,3,FALSE,Inflammation
BD02,-0.39940824526139823,cGAS_STING,11,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Inflammation
BD05,-0.3227101671796112,cGAS_STING,11,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Inflammation
BD20,-0.47358272123463707,cGAS_STING,11,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Inflammation
BD06,-0.22731410205617542,cGAS_STING,11,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Inflammation
BD07,-0.25756845861994815,cGAS_STING,11,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Inflammation
BD08,-0.24128993071167806,cGAS_STING,11,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Inflammation
BD09,0.9199391590455833,cGAS_STING,11,DKO,basal,DKO_basal,2,FALSE,Inflammation
BD57,-0.6393301196452466,cGAS_STING,11,DKO,basal,DKO_basal,2,FALSE,Inflammation
BD12,-0.17539686856593242,cGAS_STING,11,WT,TNF12h,WT_TNF12h,1,TRUE,Inflammation
BD13,0.4570242778837415,cGAS_STING,11,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Inflammation
BD14,-0.3492789839019766,cGAS_STING,11,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Inflammation
BD01,0.036743252876083106,RhoActivity,24,WT,basal,WT_basal,3,FALSE,Cytoskeleton
BD03,-0.05012376337524793,RhoActivity,24,WT,basal,WT_basal,3,FALSE,Cytoskeleton
BD04,0.06817974768491199,RhoActivity,24,WT,basal,WT_basal,3,FALSE,Cytoskeleton
BD02,-0.10828849029637812,RhoActivity,24,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Cytoskeleton
BD05,0.041757957571650656,RhoActivity,24,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Cytoskeleton
BD20,-0.08093362564065433,RhoActivity,24,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Cytoskeleton
BD06,0.16149181367975485,RhoActivity,24,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Cytoskeleton
BD07,0.10999174225087312,RhoActivity,24,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Cytoskeleton
BD08,-0.10654681114166707,RhoActivity,24,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Cytoskeleton
BD09,0.0967523482380057,RhoActivity,24,DKO,basal,DKO_basal,2,FALSE,Cytoskeleton
BD57,0.2186121240044846,RhoActivity,24,DKO,basal,DKO_basal,2,FALSE,Cytoskeleton
BD12,-0.08008728675726205,RhoActivity,24,WT,TNF12h,WT_TNF12h,1,TRUE,Cytoskeleton
BD13,5.409175405847964e-4,RhoActivity,24,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Cytoskeleton
BD14,-0.3080899266351393,RhoActivity,24,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Cytoskeleton
BD01,0.19057866370047252,Mito_Stress,18,WT,basal,WT_basal,3,FALSE,Mitochondria
BD03,0.2355305632515374,Mito_Stress,18,WT,basal,WT_basal,3,FALSE,Mitochondria
BD04,-0.047812475610819416,Mito_Stress,18,WT,basal,WT_basal,3,FALSE,Mitochondria
BD02,0.2811515457345687,Mito_Stress,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Mitochondria
BD05,0.282427141822763,Mito_Stress,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Mitochondria
BD20,0.08398225126487734,Mito_Stress,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Mitochondria
BD06,0.3529268416186707,Mito_Stress,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Mitochondria
BD07,0.23705593310958337,Mito_Stress,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Mitochondria
BD08,0.3494318837499503,Mito_Stress,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Mitochondria
BD09,0.13100165323616508,Mito_Stress,18,DKO,basal,DKO_basal,2,FALSE,Mitochondria
BD57,0.2247470005047217,Mito_Stress,18,DKO,basal,DKO_basal,2,FALSE,Mitochondria
BD12,-0.7537539727740231,Mito_Stress,18,WT,TNF12h,WT_TNF12h,1,TRUE,Mitochondria
BD13,-0.7752614054344528,Mito_Stress,18,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Mitochondria
BD14,-0.7920056241740202,Mito_Stress,18,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Mitochondria
BD01,0.13314674418134542,Tysh_DNAmAge,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD03,-0.10860939475599342,Tysh_DNAmAge,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD04,0.2831314741416437,Tysh_DNAmAge,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD02,-0.02851897165085468,Tysh_DNAmAge,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
BD05,-0.13787127640675495,Tysh_DNAmAge,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
BD20,-0.14662980047766033,Tysh_DNAmAge,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
BD06,0.11952412408556512,Tysh_DNAmAge,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD07,0.25022981830733754,Tysh_DNAmAge,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD08,-0.3172793017653793,Tysh_DNAmAge,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD09,-0.22109175650553056,Tysh_DNAmAge,16,DKO,basal,DKO_basal,2,FALSE,Aging clock
BD57,0.06199145584096703,Tysh_DNAmAge,16,DKO,basal,DKO_basal,2,FALSE,Aging clock
BD12,0.057148886461461976,Tysh_DNAmAge,16,WT,TNF12h,WT_TNF12h,1,TRUE,Aging clock
BD13,-0.23650451036080639,Tysh_DNAmAge,16,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Aging clock
BD14,0.2913325089046579,Tysh_DNAmAge,16,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Aging clock
BD01,0.30688257357751536,Tysh_LongevityUp,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD03,0.05161074207350397,Tysh_LongevityUp,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD04,-0.25404812569234336,Tysh_LongevityUp,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD02,0.13100700525554604,Tysh_LongevityUp,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
BD05,0.12219187630552515,Tysh_LongevityUp,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
BD20,0.08691724213607852,Tysh_LongevityUp,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
BD06,0.24803868056321574,Tysh_LongevityUp,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD07,0.32243846753914795,Tysh_LongevityUp,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD08,0.36121837895200365,Tysh_LongevityUp,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD09,-0.24891724135799698,Tysh_LongevityUp,16,DKO,basal,DKO_basal,2,FALSE,Aging clock
BD57,-0.7060564028317423,Tysh_LongevityUp,16,DKO,basal,DKO_basal,2,FALSE,Aging clock
BD12,-0.1360377304853997,Tysh_LongevityUp,16,WT,TNF12h,WT_TNF12h,1,TRUE,Aging clock
BD13,-0.15596875965220225,Tysh_LongevityUp,16,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Aging clock
BD14,-0.12927670638285288,Tysh_LongevityUp,16,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Aging clock
